id,Algoritmo,N,X_inicial,Y_inicial,Tiempo_Execucion,existeSolucion,Nodos_Explorados,Camino_Encontrado
0,Backtracking,3,0,0,4.320000152802095e-05,False,14,[]
1,Backtracking,3,0,1,2.809999932651408e-05,False,14,[]
2,Backtracking,3,0,2,2.680000034160912e-05,False,14,[]
3,Backtracking,3,1,0,2.7599999157246202e-05,False,14,[]
4,Backtracking,3,1,1,3.7999998312443495e-06,False,0,[]
5,Backtracking,3,1,2,2.6499999876250513e-05,False,14,[]
6,Backtracking,3,2,0,2.6100000468431972e-05,False,14,[]
7,Backtracking,3,2,1,2.789999962260481e-05,False,14,[]
8,Backtracking,3,2,2,2.6199999410891905e-05,False,14,[]
9,Backtracking,4,0,0,0.0034747999998216983,False,2222,[]
10,Backtracking,4,0,1,0.002918100000897539,False,1884,[]
11,Backtracking,4,0,2,0.0029572000003099674,False,1884,[]
12,Backtracking,4,0,3,0.003422200001296005,False,2222,[]
13,Backtracking,4,1,0,0.0029156000000511995,False,1884,[]
14,Backtracking,4,1,1,0.0024350000003323657,False,1500,[]
15,Backtracking,4,1,2,0.0023160999990068376,False,1500,[]
16,Backtracking,4,1,3,0.003133700000034878,False,1884,[]
17,Backtracking,4,2,0,0.002903599999626749,False,1884,[]
18,Backtracking,4,2,1,0.002359699999942677,False,1500,[]
19,Backtracking,4,2,2,0.0023368999991362216,False,1500,[]
20,Backtracking,4,2,3,0.002881899999920279,False,1884,[]
21,Backtracking,4,3,0,0.003522999999404419,False,2222,[]
22,Backtracking,4,3,1,0.003141300001516356,False,1884,[]
23,Backtracking,4,3,2,0.0031906000003800727,False,1884,[]
24,Backtracking,4,3,3,0.0035272000004624715,False,2222,[]
